Document Name: plaat1-gapdh17jun16 
Plate Type: Standard Curve
User: all.visser

Document Information

Operator: all.visser
Run Date: Friday, June 17, 2016 15:08:37
Last Modified: Wednesday, June 22, 2016 08:54:25
Instrument Type: Applied Biosystems 7300 Real-Time PCR System
Exporting Mode: Based on Selected Wells and Report Setting
Comments:
SDS v1.4

Thermal Cycler Profile
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment
1,1,48.0 °C,15:00,Auto,,
2,1,95.0 °C,10:00,Auto,,
3,40,95.0 °C,0:15,Auto,,
,,60.0 °C,0:45,Auto,,
Standard 7300 Mode
Data Collection :  Stage 3 Step 2
PCR Volume: 50 µL,

Standard Curve Information
Detector Name,Slope,Intercept,R2,Number of Standards,Number of Unknowns
GAPDH (MX1),-3.540596,41.589924,0.999339,16,50

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Quantity,Mean Qty,StdDev Qty
A1,4538,GAPDH (MX1),Unknown,21.0321,0.0356.40222e+005,6.40222e+005,6.30093e+005,1.43243e+004
A2,4538,GAPDH (MX1),Unknown,21.0815,0.0356.19964e+005,6.19964e+005,6.30093e+005,1.43243e+004
A3,4546,GAPDH (MX1),Unknown,20.7755,0.1847.56466e+005,7.56466e+005,6.97725e+005,8.30728e+004
A4,4546,GAPDH (MX1),Unknown,21.035,0.1846.38983e+005,6.38983e+005,6.97725e+005,8.30728e+004
A5,4554,GAPDH (MX1),Unknown,21.5323,0.1384.62415e+005,4.62415e+005,4.34944e+005,3.88492e+004
A6,4554,GAPDH (MX1),Unknown,21.7268,0.1384.07474e+005,4.07474e+005,4.34944e+005,3.88492e+004
A7,ijklijn 1e9o,GAPDH (MX1),Standard,10,0.4291.0e+009,1.0e+009,,
A8,ijklijn 1e9o,GAPDH (MX1),Standard,9.39294,0.4291.0e+009,1.0e+009,,
A9,blanco,GAPDH (MX1),NTC,Undetermined,,,,
A10,blanco,GAPDH (MX1),NTC,Undetermined,,,,
B1,4539,GAPDH (MX1),Unknown,21.1342,0.5815.99078e+005,5.99078e+005,4.75127e+005,1.75294e+005
B2,4539,GAPDH (MX1),Unknown,21.9555,0.5813.51175e+005,3.51175e+005,4.75127e+005,1.75294e+005
B3,4547,GAPDH (MX1),Unknown,21.2043,0.1775.72362e+005,5.72362e+005,5.29312e+005,6.08817e+004
B4,4547,GAPDH (MX1),Unknown,21.455,0.1774.86262e+005,4.86262e+005,5.29312e+005,6.08817e+004
B5,4555,GAPDH (MX1),Unknown,22.3136,0.06462.78203e+005,2.78203e+005,2.70175e+005,1.13536e+004
B6,4555,GAPDH (MX1),Unknown,22.405,0.06462.62146e+005,2.62146e+005,2.70175e+005,1.13536e+004
B7,ijklijn 1e8,GAPDH (MX1),Standard,13.2283,0.03941.0e+008,1.0e+008,,
B8,ijklijn 1e8,GAPDH (MX1),Standard,13.1726,0.03941.0e+008,1.0e+008,,
B9,reference,GAPDH (MX1),Unknown,21.1819,0.3535.80784e+005,5.80784e+005,5.003e+005,1.13821e+005
B10,reference,GAPDH (MX1),Unknown,21.6809,0.3534.19817e+005,4.19817e+005,5.003e+005,1.13821e+005
C1,4540,GAPDH (MX1),Unknown,21.2283,0.08935.63495e+005,5.63495e+005,5.41277e+005,3.14209e+004
C2,4540,GAPDH (MX1),Unknown,21.3546,0.08935.19059e+005,5.19059e+005,5.41277e+005,3.14209e+004
C3,4548,GAPDH (MX1),Unknown,22.0673,0.08873.26548e+005,3.26548e+005,3.1376e+005,1.80851e+004
C4,4548,GAPDH (MX1),Unknown,22.1927,0.08873.00972e+005,3.00972e+005,3.1376e+005,1.80851e+004
C5,4556,GAPDH (MX1),Unknown,23.183,0.01111.58058e+005,1.58058e+005,1.57254e+005,1.13653e+003
C6,4556,GAPDH (MX1),Unknown,23.1987,0.01111.56451e+005,1.56451e+005,1.57254e+005,1.13653e+003
C7,ijklijn 1e7,GAPDH (MX1),Standard,16.5907,0.121.0e+007,1.0e+007,,
C8,ijklijn 1e7,GAPDH (MX1),Standard,16.76,0.121.0e+007,1.0e+007,,
D1,4541,GAPDH (MX1),Unknown,21.3344,0.1155.25943e+005,5.25943e+005,5.55247e+005,4.14418e+004
D2,4541,GAPDH (MX1),Unknown,21.1719,0.1155.8455e+005,5.8455e+005,5.55247e+005,4.14418e+004
D3,4549,GAPDH (MX1),Unknown,21.3602,0.05295.17191e+005,5.17191e+005,5.30071e+005,1.82157e+004
D4,4549,GAPDH (MX1),Unknown,21.2854,0.05295.42952e+005,5.42952e+005,5.30071e+005,1.82157e+004
D5,4557,GAPDH (MX1),Unknown,21.0262,0.1896.42677e+005,6.42677e+005,5.91325e+005,7.26231e+004
D6,4557,GAPDH (MX1),Unknown,21.2939,0.1895.39972e+005,5.39972e+005,5.91325e+005,7.26231e+004
D7,ijklijn 1e6,GAPDH (MX1),Standard,20.2126,0.2571.0e+006,1.0e+006,,
D8,ijklijn 1e6,GAPDH (MX1),Standard,20.5764,0.2571.0e+006,1.0e+006,,
E1,4542,GAPDH (MX1),Unknown,21.8644,0.05863.72592e+005,3.72592e+005,3.62816e+005,1.38254e+004
E2,4542,GAPDH (MX1),Unknown,21.9473,0.05863.5304e+005,3.5304e+005,3.62816e+005,1.38254e+004
E3,4550,GAPDH (MX1),Unknown,21.7673,0.0173.9688e+005,3.9688e+005,4.0e+005,4.41248e+003
E4,4550,GAPDH (MX1),Unknown,21.7433,0.0174.0312e+005,4.0312e+005,4.0e+005,4.41248e+003
E5,4558,GAPDH (MX1),Unknown,21.9472,0.07673.53063e+005,3.53063e+005,3.41044e+005,1.69969e+004
E6,4558,GAPDH (MX1),Unknown,22.0556,0.07673.29026e+005,3.29026e+005,3.41044e+005,1.69969e+004
E7,ijklijn 1e5,GAPDH (MX1),Standard,24.2359,0.002491.0e+005,1.0e+005,,
E8,ijklijn 1e5,GAPDH (MX1),Standard,24.2394,0.002491.0e+005,1.0e+005,,
